placekey,parent_placekey,location_name,street_address,city,region,postal_code,iso_country_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_home_aggregation,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type
22m-223@627-wkm-47q,,C Town Supermarkets,16 N Day St # 26,Orange,NJ,07050,US,SG_BRAND_5f2858b0f2d5703cbcf41bfb2e71854b,C Town Supermarkets,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,26,22,"[5,5,6,4,1,4,1]","[0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]",340130183002,"{""340130183003"":5,""360050395002"":4,""340130182001"":4}","{""34013018600"":5,""34013017600"":4,""36047076800"":4,""34017015802"":4}","{""340130176002"":4,""340270419022"":4,""340130173021"":4,""340130189001"":4}","{""US"":19}",1404,10.5,"{""<5"":1,""5-10"":12,""11-20"":5,""21-60"":6,""61-120"":2,""121-240"":0,"">240"":0}","{""Target"":8,""BP"":8,""Big Lots Stores"":8,""Super Supermarket"":8,""McDonald's"":8,""Walmart"":4,""Bravo Supermarkets"":4,""Superfresh"":4,""Simon mall"":4,""DHL"":4,""The Salvation Army"":4,""Wendy's"":4,""76"":4,""Golden Krust Caribbean Bakery and Grill"":4,""Costco"":4,""Walgreens"":4,""PNC Financial Services"":4,""Exxon Mobil"":4,""Subway"":4,""Dunkin'"":4}","{""Super Supermarket"":23,""McDonald's"":23,""Dunkin'"":23,""The Home Depot"":18,""Family Dollar Stores"":18,""Western Beef"":14,""Bravo Supermarkets"":14,""The Salvation Army"":14,""Golden Krust Caribbean Bakery and Grill"":14,""Walgreens"":14,""ShopRite"":14,""Walmart"":9,""Target"":9,""BP"":9,""Wendy's"":9,""Costco"":9,""Mattress Firm"":9,""Big Lots Stores"":9,""Burger King"":9,""Exxon Mobil"":9}","{""android"":7,""ios"":12}"
222-222@5ph-zhv-nt9,,Southwestern Illinois College Red Bud Campus,500 W South 4th St,Red Bud,IL,62278,US,,,2021-01-04T00:00:00-06:00,2021-01-11T00:00:00-06:00,50,15,"[9,8,9,11,12,1,0]","[0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",171579508003,"{""171899502002"":4,""171579509002"":4,""171579513004"":4}","{""17133600402"":4,""17157950900"":4,""17157950800"":4,""17189950200"":4,""17157951300"":4}","{""171579508002"":4,""171579508003"":4,""171579506002"":4,""171336001021"":4}","{""US"":13}",27095,304.5,"{""<5"":0,""5-10"":8,""11-20"":7,""21-60"":1,""61-120"":2,""121-240"":5,"">240"":27}","{""Dollar General"":9,""Walmart"":7,""Casey's General Stores"":7,""Chevrolet"":4,""MotoMart"":4,""Buick"":4,""GMC (General Motors Company)"":4,""McDonald's"":4,""IGA"":2,""Holiday Inn Express"":2}","{""Casey's General Stores"":33,""Dollar General"":27,""Dairy Queen"":27,""McDonald's"":27,""Chevrolet"":20,""Buick"":20,""GMC (General Motors Company)"":20,""Walmart"":13,""MotoMart"":13,""Sonic"":7,""On The Run Convenience"":7,""IGA"":7,""Lowe's"":7,""KFC"":7,""Red Wing Shoes"":7,""Smoothie King"":7,""GameStop"":7,""Five Below"":7,""Mobil"":7,""Krispy Kreme Doughnuts"":7}","{""android"":9,""ios"":4}"
222-222@5pw-6cg-fzz,,Senior Lifestyle,8300 S Cottage Grove Ave,Chicago,IL,60619,US,SG_BRAND_0268ea466434672b,Senior Lifestyle,2021-01-04T00:00:00-06:00,2021-01-11T00:00:00-06:00,10,10,"[0,1,2,2,4,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",170314402022,"{""170910123002"":4}","{""17031560900"":4}","{""170315103003"":4}","{""US"":4}",15055,91.5,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":3,""61-120"":2,""121-240"":1,"">240"":3}","{""Pepe's Mexican Restaurant"":10}","{""Jewel-Osco"":10,""Edible Arrangements"":10,""Pepe's Mexican Restaurant"":10,""Advocate Health"":10}","{""android"":7,""ios"":4}"
zzw-223@5pv-b6k-rx5,,Indiana Neuroscience Associates,9302 N Meridian St Ste 101,Indianapolis,IN,46260,US,,,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,65,43,"[15,14,9,13,13,1,0]","[0,0,0,0,0,0,0,0,2,1,3,3,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",180973201072,"{""181339562003"":5,""180632101031"":4,""180559548002"":4,""180973210022"":4,""180719682001"":4,""180719682002"":4,""180571110012"":4,""180973555002"":4,""180973101102"":4}","{""18071968200"":5,""18133956400"":4,""18133956200"":4,""18057110809"":4,""18097310311"":4,""18097355500"":4,""18057110904"":4,""18057110512"":4}","{""180973101042"":4,""180973103113"":4,""181095104021"":4,""180571108104"":4,""180973201072"":4,""180118105003"":4,""180571110013"":4,""180139749003"":4,""180571110012"":4,""180118105002"":4}","{""US"":43}",18756,78.0,"{""<5"":1,""5-10"":4,""11-20"":2,""21-60"":21,""61-120"":15,""121-240"":8,"">240"":14}","{""McDonald's"":6,""Marathon"":6,""Walmart"":5,""Target"":5,""Chick-fil-A"":5,""Meijer"":5,""Subway"":5,""Regions Bank"":3,""CVS"":3,""Shell Oil"":3,""Dodge"":2,""Ascension Health"":2,""Trader Joe's"":2,""Chrysler"":2,""Nike"":2,""Simon mall"":2,""Piada Italian Street Food"":2,""ALDI"":2,""Harrah's"":2,""Kroger"":2}","{""Target"":26,""Walmart"":23,""Kroger"":19,""McDonald's"":16,""Speedway"":14,""CVS"":14,""BP"":12,""Meijer"":12,""Marathon"":12,""Chick-fil-A"":9,""Subway"":9,""Circle K Gas"":7,""Ascension Health"":7,""Taco Bell"":7,""Hobby Lobby Stores"":7,""Starbucks"":7,""Panera Bread"":7,""White Castle"":7,""Steak 'n Shake"":7,""Hibbett Sports"":5}","{""android"":23,""ios"":21}"
222-222@5s6-ryr-brk,,Tom Wood Catering,810 S Mackinaw Rd,Kawkawlin,MI,48631,US,,,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,1,1,"[0,0,0,0,1,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",260172861002,{},{},{},{},,43.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}"
223-222@63j-d7z-rff,,Kroger,512 Green Blvd,Aurora,IN,47001,US,SG_BRAND_1f852a23da4b7250,Kroger,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,121,91,"[22,22,18,16,20,17,6]","[0,0,0,0,0,0,0,1,1,0,1,2,2,3,2,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,2,2,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,3,2,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0]",180290805001,"{""180290806002"":8,""180290804001"":7,""180290807001"":7,""180290805002"":6,""181159658001"":5,""180290801041"":4,""180779663003"":4,""180290805001"":4,""181159658003"":4,""180290806004"":4,""180290805004"":4,""180290806005"":4,""180290807003"":4,""181159658002"":4,""181159657001"":4,""180290804004"":4,""181379689002"":4}","{""18029080500"":25,""18029080600"":17,""18029080700"":11,""18115965800"":6,""18115965700"":5,""18077966300"":4,""18029080400"":4,""18155965700"":4,""18029080300"":4,""18029080104"":4,""18155965900"":4}","{""180290806002"":7,""181159658002"":7,""180290807001"":6,""180290805002"":5,""180290806004"":5,""180290806005"":5,""180290807002"":4,""181159657003"":4,""180290803001"":4,""180290801012"":4,""181559657002"":4,""181159657001"":4,""180290801033"":4,""211170611001"":4,""181379689002"":4,""180290805004"":4}","{""US"":86}",9088,9.0,"{""<5"":11,""5-10"":61,""11-20"":28,""21-60"":14,""61-120"":1,""121-240"":2,"">240"":4}","{""Walmart"":17,""McDonald's"":13,""Kroger Fuel Center"":6,""Frisch's Big Boy"":5,""Speedway"":5,""IGA"":4,""Lowe's"":4,""UDF (United Dairy Farmers)"":4,""Shell Oil"":4,""Family Dollar Stores"":4,""Hallmark Cards"":4,""TriHealth"":4,""Wendy's"":4,""Walgreens"":4,""St. Elizabeth Healthcare"":4,""Dollar General"":3,""Ford Motor Company"":3,""Sinclair Oil"":3,""Kia Motors"":3,""White Castle"":3}","{""Walmart"":51,""McDonald's"":40,""Kroger Fuel Center"":23,""Dollar General"":20,""Wendy's"":20,""Speedway"":18,""UDF (United Dairy Farmers)"":18,""Shell Oil"":18,""Frisch's Big Boy"":15,""CVS"":14,""Taco Bell"":13,""Lowe's"":12,""Skyline Chili"":12,""Dunkin'"":12,""Arby's"":12,""Family Dollar Stores"":12,""TriHealth"":11,""Walgreens"":11,""ALDI"":10,""Subway"":10}","{""android"":47,""ios"":46}"
225-222@8gb-rz6-rkz,,First Century Bank,807 Dorsey St,Gainesville,GA,30501,US,,,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,7,6,"[0,1,2,0,0,3,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]",131390011011,"{""131390002031"":4}","{""13139000204"":4}","{""131390002031"":4}","{""US"":4}",16255,45.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":3,""61-120"":3,""121-240"":0,"">240"":0}","{""Chevron"":17,""Baskin Robbins"":17,""Floor and Decor"":17,""Bodyplex"":17,""McDonald's"":17}","{""The Home Depot"":50,""Chevron"":33,""Burger King"":33,""McDonald's"":33,""Shell Oil"":33,""Little Caesars"":17,""Ollie's Bargain Outlet"":17,""Simon mall"":17,""Krystal"":17,""Tuxedo by Sarno"":17,""Domino's Pizza"":17,""RaceTrac"":17,""Baskin Robbins"":17,""Buffalo Wild Wings"":17,""Kroger Fuel Center"":17,""Wendy's"":17,""Buick"":17,""Floor and Decor"":17,""Ace Hardware"":17,""QuikTrip"":17}","{""android"":5,""ios"":0}"
22y-222@8ts-3nj-5vf,,Baron Paris,2870 E Skyline Dr Ste 190,Tucson,AZ,85718,US,,,2021-01-04T00:00:00-07:00,2021-01-11T00:00:00-07:00,5,4,"[0,0,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",040190047261,"{""040190040611"":4}","{""04019004334"":4}","{""040190043341"":4}",{},,42.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":3,""61-120"":0,""121-240"":0,"">240"":1}",{},{},"{""android"":4,""ios"":0}"
224-222@62j-ssd-nqz,,Ross Jolene PHD,27 Mica Ln,Wellesley,MA,02481,US,,,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,2,1,"[0,0,1,0,1,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",250214042014,{},{},{},"{""US"":4}",,359.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":2}",{},{},"{""android"":0,""ios"":0}"
223-222@63s-cj6-jgk,,Trinity Nursery & Kindergarten,966 Trinity Ln,King of Prussia,PA,19406,US,,,2021-01-04T00:00:00-05:00,2021-01-11T00:00:00-05:00,30,18,"[3,3,9,4,9,1,1]","[0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",420912059061,"{""420454004021"":4,""421010263014"":4,""421010198004"":4}","{""42091202402"":4,""42091206102"":4,""42101017202"":4}","{""420912058082"":4,""421010077001"":4,""420912058011"":4}","{""US"":15}",14143,10.5,"{""<5"":1,""5-10"":14,""11-20"":4,""21-60"":5,""61-120"":2,""121-240"":3,"">240"":1}","{""Simon mall"":27,""Honda"":17,""Genesis Auto"":17,""Hyundai Motor"":17,""Eddie V's Prime Seafood"":10,""Target"":7,""Barnes and Noble"":7,""The Home Depot"":7,""Lilly Pulitzer"":7,""Floor and Decor"":7,""Wawa"":7,""Rita's Italian Ice"":3,""Wolford"":3,""Chipotle Mexican Grill"":3,""Torrid"":3,""Mercedes Benz"":3,""TD Bank"":3,""Starbucks"":3,""Lidl"":3,""SuitSupply"":3}","{""Simon mall"":33,""The Home Depot"":11,""Lilly Pulitzer"":11,""Sunoco"":11,""Autograph Collection Hotels"":11,""Rita's Italian Ice"":6,""Hallmark Cards"":6,""ULTA Beauty"":6,""Wolford"":6,""Honda"":6,""Genesis Auto"":6,""Target"":6,""Chipotle Mexican Grill"":6,""Olive Garden"":6,""Torrid"":6,""Mercedes Benz"":6,""TD Bank"":6,""Barnes and Noble"":6,""Eddie V's Prime Seafood"":6,""ALDI"":6}","{""android"":11,""ios"":5}"
222-222@64m-xpm-nyv,,Guysborough Transfer Ltd,65 Macdonald Avenue,Dartmouth,NS,B3B 1S5,CA,,,2021-01-04T00:00:00-04:00,2021-01-11T00:00:00-04:00,1,1,"[0,0,0,0,1,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",CA:12090193,{},{},{},{},,16.0,"{""<5"":0,""5-10"":0,""11-20"":1,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}"
222-223@5s9-xbc-sdv,,Madison Radiologists Sc,1221 John Q Hammons Dr,Madison,WI,53717,US,,,2021-01-04T00:00:00-06:00,2021-01-11T00:00:00-06:00,31,10,"[6,6,5,9,4,1,0]","[0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",550250109011,"{""551110006002"":4,""550250129001"":4}","{""55025012800"":4,""55111000600"":4}","{""550250129001"":4,""551110006002"":4}","{""US"":4}",20790,231.0,"{""<5"":1,""5-10"":1,""11-20"":1,""21-60"":2,""61-120"":5,""121-240"":6,"">240"":15}","{""Kohl's"":8,""Menard's"":8,""Marriott Hotels"":8,""Chevrolet"":4,""Kwik Trip"":4,""Domino's Pizza"":4,""Starbucks"":4,""Kelley's Market"":4,""O'Reilly Auto Parts"":4,""Walgreens"":4,""McDonald's"":4}","{""Kohl's"":30,""KFC"":20,""Sears Home Services"":20,""Walgreens"":20,""Jet's Pizza"":10,""Chevrolet"":10,""Chili's Grill & Bar"":10,""BioLife Plasma Services"":10,""Kwik Trip"":10,""BP"":10,""Domino's Pizza"":10,""Woodman's Market"":10,""Dollar General"":10,""True Value Hardware"":10,""Starbucks"":10,""Party City"":10,""Mills Fleet Farm"":10,""Kelley's Market"":10,""O'Reilly Auto Parts"":10,""Costco"":10}","{""android"":4,""ios"":4}"
zzy-223@5s8-8xm-5pv,,North Branch Marketplace,418 St Croix Trail,North Branch,MN,55056,US,,,2021-01-04T00:00:00-06:00,2021-01-11T00:00:00-06:00,467,338,"[51,57,58,80,71,83,67]","[0,0,0,0,0,1,0,1,2,2,4,2,3,6,4,5,5,5,7,2,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,5,5,5,6,7,8,6,7,0,1,0,0,1,0,0,0,0,0,0,0,1,2,3,5,4,6,4,6,8,4,6,4,3,2,0,0,0,0,0,0,0,0,0,1,2,4,3,5,3,9,5,4,4,11,10,11,5,2,0,0,1,0,0,0,0,0,1,1,1,2,2,2,5,10,7,1,8,8,9,6,8,0,0,0,0,0,0,0,0,0,0,1,0,2,8,7,8,6,16,5,6,5,6,6,4,2,0,1,0,0,0,0,0,0,0,0,1,5,0,5,8,4,9,7,9,5,3,5,4,1,1,0,0]",270251103012,"{""270251103021"":33,""270251103023"":28,""270251104021"":24,""270251102004"":21,""270251103012"":21,""270591304002"":19,""270591304003"":17,""270251103011"":13,""270251103022"":12,""270251103014"":12,""270591305012"":8,""270251101003"":7,""270251102002"":5,""270251101001"":5,""270251103013"":4,""271159506001"":4,""550959608002"":4,""270251107002"":4,""270591303012"":4,""270530269072"":4,""271159507001"":4,""270654802001"":4,""270591303011"":4,""270251107001"":4,""270030508102"":4,""270251102001"":4,""271410301021"":4,""270251104022"":4,""270251101002"":4,""270370608213"":4,""270030502152"":4,""270530254011"":4,""270530267084"":4,""270591303013"":4,""550139710001"":4,""270251104011"":4,""270251106002"":4,""550959602003"":4}","{""27025110302"":70,""27025110301"":48,""27059130400"":34,""27025110200"":33,""27025110402"":28,""27025110100"":17,""27115950600"":8,""27059130301"":7,""27025110700"":6,""27059130501"":6,""27025110502"":5,""27163070103"":4,""27123040100"":4,""27053026809"":4,""27141030102"":4,""27137012100"":4,""27065480300"":4,""27025110401"":4,""27003051600"":4,""27139081200"":4,""27053024700"":4,""27003050819"":4,""27003050219"":4,""27025110501"":4,""27053022901"":4,""27115950500"":4,""27003050221"":4,""27115950700"":4}","{""270251103021"":29,""270251103023"":25,""270251103012"":23,""270251104021"":20,""270251103022"":15,""270591304003"":14,""270251103011"":13,""270591304002"":13,""270251103014"":13,""270251102004"":12,""270251101001"":7,""270251102001"":6,""270251107001"":5,""271630701063"":5,""292134805012"":5,""271159506002"":5,""270030502212"":5,""270251107002"":5,""270030514003"":5,""271630701031"":4,""270251101002"":4,""271370121005"":4,""270591305012"":4,""270251102002"":4,""270251103013"":4,""270251101003"":4,""270591303022"":4,""270530267084"":4,""270654803003"":4,""270251102003"":4,""271410301021"":4,""550139704001"":4,""550959607002"":4,""270591303013"":4,""270251104022"":4,""270251106001"":4,""270030511011"":4,""040134226152"":4,""271159506001"":4,""271159505002"":4,""271159506003"":4}","{""US"":322}",9029,14.0,"{""<5"":27,""5-10"":157,""11-20"":119,""21-60"":121,""61-120"":14,""121-240"":12,"">240"":17}","{""County Market"":71,""Papa Murphy's"":15,""Kwik Trip"":9,""Dickey's Barbecue Pit"":9,""Holiday Station"":8,""Walmart"":6,""Menard's"":3,""McDonald's"":3,""Target"":3,""Dairy Queen"":3,""Subway"":3,""Burger King"":2,""Dollar Tree"":2,""Arby's"":2,""Casey's General Stores"":2,""Domino's Pizza"":2,""Speedway"":2,""Taco Bell"":1,""Caribou Coffee"":1,""O'Reilly Auto Parts"":1}","{""County Market"":72,""Kwik Trip"":34,""Walmart"":32,""Holiday Station"":29,""Papa Murphy's"":19,""McDonald's"":18,""Menard's"":16,""Target"":14,""Dickey's Barbecue Pit"":11,""Dairy Queen"":9,""Dollar Tree"":9,""Subway"":9,""Mills Fleet Farm"":8,""Casey's General Stores"":8,""Burger King"":7,""Cub Foods"":7,""Speedway"":7,""Arby's"":6,""Starbucks"":6,""Culver's"":6}","{""android"":220,""ios"":117}"
